Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Florida,T49,"2021-12-17 09:46:00",8001480020412,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:46:00",8001480020412,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:46:00",8001480020412,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:47:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:47:00",5449000000996,1,2010008198584
Florida,T49,"2021-12-17 09:47:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:47:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:47:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8425561010039,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8480024733955,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:48:00",8410297112041,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",20646042,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:48:00",8411327122016,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8411327122016,1,2010008198584
Florida,T49,"2021-12-17 09:48:00",8480024733955,0,008d774b-1527-467b-8be9-e2a23a6ac097
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:47:00",54491472,1,2010009300221
Argentina,T19,"2021-12-17 09:48:00",8412598000010,1,2010009300221
Argentina,T19,"2021-12-17 09:48:00",8412598000010,1,2010009300221
